Date,Item_Name,Quantity_Sold,Revenue
2026-04-01,Dell XPS 15,1,1500.0
2026-04-01,Wireless Mouse,5,125.0
2026-04-02,Ergonomic Chair,2,500.0
2026-04-02,Standing Desk,1,450.0
2026-04-02,Mechanical Keyboard,3,360.0
2026-04-03,27-inch Monitor,2,600.0
2026-04-03,USB-C Hub,10,450.0
2026-04-03,Office Lamp,4,220.0
2026-04-04,Noise Cancelling Headphones,1,299.0
2026-04-04,Laptop Stand,2,70.0
2026-04-04,Webcam 4K,1,95.0
2026-04-05,Coffee Maker,2,240.0
2026-04-05,Electric Kettle,3,135.0
2026-04-05,Desk Organizer,8,120.0
2026-04-06,Mechanical Keyboard,2,240.0
2026-04-06,External Hard Drive 2TB,5,400.0
2026-04-07,Wireless Mouse,12,300.0
2026-04-07,Stapler Heavy Duty,3,66.0
2026-04-07,Tablet 10-inch,1,499.0
2026-04-08,Gaming Mouse Pad,15,270.0
2026-04-08,Power Bank 20000mAh,4,160.0
2026-04-08,Air Purifier,1,210.0
2026-04-09,Kitchen Knife Set,2,220.0
2026-04-09,Toaster 4-Slice,3,105.0
2026-04-10,Sofa Bed,1,850.0
2026-04-10,HDMI Cable 6ft,20,240.0
2026-04-11,Wireless Charger,5,150.0
2026-04-11,Smart Watch,2,500.0
2026-04-11,Graphic Tablet,1,350.0
2026-04-12,Microphone USB,1,130.0
2026-04-12,Ring Light,3,135.0
2026-04-12,Printer Ink Black,4,140.0
2026-04-13,A4 Paper Ream,10,60.0
2026-04-13,Marker Set 12-Pack,5,60.0
2026-04-13,Backpack Laptop,2,150.0
2026-04-14,Monitor Arm,2,170.0
2026-04-14,Footrest,3,90.0
2026-04-14,Wireless Earbuds,4,560.0
2026-04-15,Gaming Headset,2,180.0
2026-04-15,Smart Bulb 4-Pack,5,225.0
2026-04-15,Security Camera,2,160.0
2026-04-16,Non-Stick Frying Pan,3,120.0
2026-04-16,Cast Iron Skillet,1,55.0
2026-04-16,Wall Clock,4,100.0
2026-04-17,Step Ladder,1,60.0
2026-04-17,Trash Can Motion Sensor,2,150.0
2026-04-17,Pens Box of 50,5,50.0
2026-04-18,Calculator Scientific,2,50.0
2026-04-18,Ethernet Cable 25ft,6,90.0
2026-04-18,Screen Cleaning Kit,10,100.0
2026-04-19,Camera Tripod,1,55.0
2026-04-19,Laptop Sleeve 13-inch,4,88.0
2026-04-19,Smart Plug,3,60.0
2026-04-20,Gaming Controller,2,120.0
2026-04-20,Soundbar,1,180.0
2026-04-21,SSD 1TB Internal,3,330.0
2026-04-21,HDMI Cable 6ft,15,180.0
2026-04-22,Dell XPS 15,1,1500.0
2026-04-22,Ergonomic Chair,1,250.0
2026-04-23,Webcam 4K,2,190.0
2026-04-23,External Hard Drive 2TB,3,240.0
2026-04-24,Bookshelf,1,180.0
2026-04-24,Desk Organizer,10,150.0
2026-04-25,Wireless Mouse,8,200.0
2026-04-25,Smartphone 128GB,2,1598.0
2026-04-26,Tablet 10-inch,1,499.0
2026-04-26,Bluetooth Speaker,3,195.0
2026-04-27,Kitchen Knife Set,1,110.0
2026-04-27,Blender,2,170.0
2026-04-28,Standing Desk Converter,1,190.0
2026-04-28,Notebook Hardcover,12,96.0
2026-04-29,Air Purifier,2,420.0
2026-04-29,Smart Watch,1,250.0
2026-04-29,Gaming Headset,3,270.0
2026-04-30,E-Reader,2,260.0
2026-04-30,Slow Cooker,1,65.0
2026-04-30,Trash Can Motion Sensor,1,75.0
2026-04-30,SSD 1TB Internal,2,220.0
2026-04-30,Office Chair Mat,5,200.0
2026-04-30,HDMI Cable 6ft,10,120.0
2026-04-16,Dell XPS 15,1,1500.0
